p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
255.0,-4,1.18,651.0,1597,0.67,1549,0.65,270.0,0.27,-4,0,0.11,0.59,15.0,0.29,-131.0,0.31,40.0,0.484375,124.0,48,4,1.06,25.0,42.43058489047161,Clay,Regular,derrotas,Mala,derrotas,player1,True,False,False
175.0,1,1.35,201.0,1641,0.64,1628,0.66,422.0,0.26,-1,0,0.26,0.53,11.0,0.51,146.0,0.24,55.0,1.8238636363636365,321.0,13,2,1.22,45.0,70.5270798541944,Clay,Regular,victorias,Regular,derrotas,player2,True,False,False
2158.0,-2,1.3,42.0,1609,0.91,1446,0.54,1.0,0.16,-1,0,0.06,0.21,7.0,0.41,-1433.0,0.0,50.0,0.33580361278369614,725.0,163,1,1.08,22.2,28.59120852398759,Hard,Regular,derrotas,Mala,derrotas,player2,False,False,True
871.0,-1,1.14,6.0,1468,0.74,1518,0.87,28.0,0.21,-1,0,0.09,0.36,12.0,0.36,499.0,0.0,30.0,1.5711009174311927,1370.0,-50,1,1.26,40.0,43.42402731491269,Hard,Mala,derrotas,Regular,derrotas,player2,False,False,True
677.0,-1,1.29,35.0,1632,0.89,1653,0.91,49.0,0.21,-2,0,0.09,0.41,7.0,0.41,124.0,0.0,50.0,1.1814159292035398,801.0,-21,2,1.36,65.0,55.98175693588991,Hard,Regular,derrotas,Buena,derrotas,player2,False,False,True
35.0,1,1.36,598.1809857013515,1766,0.0,1743,1.05,1283.0,0.27,-5,0,0.04,0.0,13.0,0.54,89.47325055700591,0.09,30.0,3.4376631447411765,147.28274017830162,23,8,1.3,35.0,68.5982188387199,Grass,Mala,victorias,Mala,derrotas,player1,False,True,False
810.0,-1,1.28,21.0,1582,0.52,1623,0.53,34.0,0.21,-1,0,0.0,0.39,9.0,0.43,149.0,0.0,50.0,1.1824907521578298,959.0,-41,3,1.31,55.0,54.773414687081804,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
879.0,-1,1.27,127.0,1684,0.58,1529,0.52,27.0,0.25,-2,0,0.0,0.4,11.0,0.46,-500.0,0.41,50.0,0.43068181818181817,379.0,155,3,1.24,45.0,42.5602754709217,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
353.0,-1,1.27,152.0,1661,0.63,1658,0.63,141.0,0.24,2,2,0.32,0.51,8.0,0.57,-22.0,0.0,60.0,0.9350282485875706,331.0,3,5,1.37,60.0,53.97814533594658,Clay,Buena,derrotas,Buena,victorias,player1,True,False,False
649.0,-4,1.33,78.0,1644,0.94,1646,0.92,53.0,0.16,-2,0,0.0,0.38,9.0,0.38,-113.0,0.0,60.0,0.8246153846153846,536.0,-2,1,1.35,55.0,26.884498696431056,Hard,Buena,derrotas,Regular,derrotas,player1,False,False,True
611.0,-2,1.19,127.0,1589,0.96,1591,0.93,60.0,0.25,-1,0,0.12,0.42,11.0,0.42,-232.0,0.1,40.0,0.619281045751634,379.0,-2,3,1.26,45.0,29.54970369825463,Hard,Regular,derrotas,Regular,derrotas,player2,False,False,True
488.0,-1,1.27,96.0,1636,0.95,1661,0.91,112.0,0.23,-1,1,0.19,0.42,7.0,0.4,59.0,0.22,60.0,1.1186094069529653,547.0,-25,7,1.29,65.0,59.72800727290827,Hard,Buena,derrotas,Buena,derrotas,player2,False,False,True
831.0,-2,1.21,13.0,1535,0.49,1584,0.53,32.0,0.14,1,0,0.51,0.45,9.0,0.3,267.0,0.0,45.0,1.3197115384615385,1098.0,-49,6,1.3,55.0,45.948760231303304,Clay,Regular,derrotas,Regular,victorias,player2,True,False,False
775.0,1,1.32,1.0,1552,0.35,1550,0.58,38.0,0.0,1,0,0.0,0.44,11.0,0.42,1342.0,0.0,45.5,2.7280927835051547,2117.0,2,1,1.27,45.0,45.123336892097576,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
113.0,-2,1.37,1328.0,1749,1.15,1684,1.03,697.0,0.27,3,1,0.09,0.6,10.0,0.42,-77.0,0.13,45.0,0.3157894736842105,36.0,65,12,1.47,50.0,45.47980677268971,Grass,Regular,derrotas,Regular,victorias,player2,False,True,False
120.0,-1,1.51,1631.0,1822,1.15,1782,1.03,668.0,0.27,2,1,0.0,0.0,5.0,0.0,-94.0,0.02,60.0,0.21487603305785125,26.0,40,5,1.69,75.0,38.96904655360048,Grass,Buena,derrotas,Excelente,victorias,player1,False,True,False
879.3866167535423,-1,1.25,107.0,1612,0.57,1467,0.0,57.88694964758413,0.27,-2,0,0.0,0.0,2.0,0.48,-338.5413140022392,0.0,40.0,0.7644301934717853,506.0,145,0,0.0,0.0,45.292658934555746,Clay,Regular,derrotas,Mala,derrotas,player1,True,False,False
1134.0,-3,1.16,124.0,1533,0.58,1613,0.49,13.0,0.26,-5,0,0.23,0.5,12.0,0.5,-681.0,0.2,30.0,0.3991189427312775,453.0,-80,3,1.2,40.0,44.43858252644143,Clay,Mala,derrotas,Regular,derrotas,player2,True,False,False
301.0,-3,1.35,328.0,1711,0.65,1602,0.64,176.0,0.27,-1,0,0.0,0.55,10.0,0.58,-123.0,0.35,65.0,0.5894039735099338,178.0,109,2,1.24,50.0,61.128542671523476,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
